Acronym,Definition
ASFR,Age-specific fertility rate
CBR,Crude birth rate
CRVS,Civil registration and vital statistics
D4H,Bloomberg Philanthropies Data for Health Initiative
DHS,Demographic and Health Survey
ECA,(United Nations) Economic Commission for Africa
ESCAP,(United Nations) Economic and Social Commission for Asia and the Pacific
TFR,Total fertility rate
UN,United Nations
US CDC,United States Centers for Disease Control and Prevention
VS,Vital statistics
WHO,World Health Organization
