input_variable_id,standardised_variable_name,publication_name,variable_description,event,characteristic,source,type
unique_id,unique_id,,Unique identifier for record,All,Event,Direct,Integer
birth1a,dob,Date of birth,Date of occurrence,Birth,Baby,Direct,Date
birth1b,dor,,Date of registration,Birth,Event,Direct,Date
birth1c,pob,,Place of occurrence,Birth,Event,Direct,Character
birth1g,mult_type,,"Type of birth (i.e., single, twin, triplet, quadruplet or higher multiple delivery)",Birth,Event,Direct,Character
birth1h,bth_attendant,,Attendant at birth,Birth,Event,Direct,Character
birth1i,pob_type,,"Type of place of occurrence (hospital, home, etc.)",Birth,Event,Additional,Character
birth1j,birth_type,,Still Birth Indicator,Birth,Event,Direct,Character
birth2a,sex,,Sex,Birth,Baby,Direct,Character
birth3a,dob_m,,Mothers Date of birth,Birth,Mother,Direct,Date
birth3b,age_m,,Mothers Age,Birth,Mother,Derived,Integer
,age_grp_m,,Mothers Age Group,Birth,Mother,Derived,Character
birth3c,mar_stat,,Mothers Marital status,Birth,Mother,Direct,Character
birth3l,usual_residence,,Mothers Place of usual residence,Birth,Mother,Direct,Character
birth3n,urban_rural,,Morthers Place of usual residence: Urban or rural residence,Birth,Mother,Derived,Character
death1a,dod,,Date of occurrence,Death,Event,Direct,Date
death1b,dor,,Date of registration,Death,Event,Direct,Date
death1c,pod,,Place of occurrence,Death,Event,Direct,Character
death1g,cod,,Cause of death,Death,Event,Direct,Character
death1j,dth_preg,,"Death occurring during pregnancy, childbirth and puerperium (for females between 15 and 49 years of age)",Death,Event,Additional,Character
death1n,pod_type,,"Type of place of occurrence (hospital, home, etc.)",Death,Event,Additional,Character
death2a,dob,,Date of birth,Death,Deceased,Direct,Date
death2b,age,,Age,Death,Deceased,Derived,Integer
death2c,sex,,Sex,Death,Deceased,Direct,Character
death2o,usual_residence,,Place of usual residence,Death,Deceased,Direct,Character
death2p,usual_residence_m,,Place of usual residence of the mother (for deaths under 1 year of age),Death,Deceased,Direct,Character
death2r,urban_rural,,Urban/rural residence,Death,Deceased,Derived,Character
marriage1a,dom,,Date of occurrence,Marriage,Event,Direct,Date
marriage1b,dor,,Date of registration,Marriage,Event,Direct,Date
marriage2a,dob_b,,Date of birth,Marriage,Bride,Direct,Date
marriage2b,age_b,,Age,Marriage,Bride,Derived,Integer
marriage2c,prev_mar_stat_b,,Marital status (previous),Marriage,Bride,Additional,Character
marriage3a,dob_g,,Date of birth,Marriage,Groom,Direct,Date
marriage3b,age_g,,Age,Marriage,Groom,Derived,Integer
marriage3c,prev_mar_stat_g,,Marital status (previous),Marriage,Groom,Additional,Character
marriage3d,usual_residence_g,,Place of usual residence,Marriage,Groom,Direct,Character
marriage3e,urban_rural_g,,Urban/rural residence,Marriage,Groom,Direct,Character
divorce1a,do_divorce,,Date of occurrence,Divorce,Event,Direct,Date
divorce1b,dor,,Date of registration,Divorce,Event,Direct,Date
divorce1c,dom,,Date of marriage,Divorce,Event,Direct,Date
divorce1d,mar_duration,,Duration of marriage,Divorce,Event,Derived,Integer
divorce2a,dob_b,,Date of birth,Divorce,Wife,Direct,Date
divorce2b,age_b,,Age,Divorce,Wife,Derived,Integer
divorce2c,num_deped_child_b,,Number of dependent children of divorced persons,Divorce,Wife,Additional,Integer
divorce3a,dob_g,,Date of birth,Divorce,Husband,Direct,Date
divorce3b,age_g,,Age,Divorce,Husband,Derived,Integer
divorce3c,num_deped_child_g,,Number of dependent children of divorced persons,Divorce,Husband,Additional,Integer
year,year,,Calendar year,Population,Population,Direct,Integer
sex,sex,,Sex of population group,Population,Population,Direct,Character
age,age,,Single year of age of population group,Population,Population,Direct,Integer
geog,geog,,Geography level of population group,Population,Population,Direct,Character
population,population,,Count of population of the population group,Population,Population,Direct,Integer
dobyr,dobyr,,Year,Output,Output,Derived,Integer
count,count,,Count of all births,Output,Output,Calculated,Integer
lb_count,lb_count,,Count of live births,Output,Output,Calculated,Integer
